model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,shuffle_label_frac,n_estimators,splitter,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves
forest,0,4096,8192,0,1.0,True,0,1,random,False,1,-2,0.498291015625,0.24999584268726469,0.491455078125,0.2499626850464118,2.0,4096.0,3299.088662039867,2,3299.088662039867,2,2,0.535987049022763,0.8054415678808269,2048.0,32.0,2657.22314453125,7.7817791176960505,2
forest,0,4096,8192,0,1.0,True,0,1,random,False,2,-2,0.48876953125,0.24959088027218634,0.4959716796875,0.2499449409471689,4.0,4096.0,3537.7832042113605,4,3537.7832042113605,4,4,0.46763620969675196,0.8637166025906642,1024.0,16.0,3055.64208984375,7.850129957023232,4
forest,0,4096,8192,0,1.0,True,0,1,random,False,3,-2,0.452392578125,0.24104193070760777,0.452880859375,0.24045753578114454,8.0,4096.0,2651.0364011080646,8,2651.0364011080646,8,8,1.1285620575221436,0.6472256838642736,512.0,8.0,1715.81884765625,7.189204109196833,8
forest,0,4096,8192,0,1.0,True,0,1,random,False,4,-2,0.32421875,0.2058561690687988,0.3155517578125,0.20306651731863912,15.0,4096.0,2042.5723977377154,15,2042.5723977377154,15,15,1.7128777778712903,0.4986749017914344,273.06666666666666,4.266666666666667,1018.57958984375,6.604888388848218,15
forest,0,4096,8192,0,1.0,True,0,1,random,False,5,-2,0.48046875,0.2448785105324908,0.4857177734375,0.24674790726975568,12.0,4096.0,3318.4870046453398,12,3318.4870046453398,7,12,0.7817397911662317,0.8101774913684912,341.33333333333326,5.333333333333334,2688.5634765625,7.536026375552964,12
forest,0,4096,8192,0,1.0,True,0,1,random,False,6,-2,0.333984375,0.20589788193582542,0.326171875,0.2046570511515951,39.0,4096.0,1909.8570627143802,39,1909.8570627143802,13,39,2.0850545369090447,0.46627369695175297,105.02564102564105,1.641025641025641,890.51611328125,6.232711629810136,39
forest,0,4096,8192,0,1.0,True,0,1,random,False,7,-2,0.295654296875,0.18908906123174432,0.29736328125,0.1959798211939213,70.0,4096.0,1362.7648366464407,70,1362.7648366464407,16,36,2.883290801815521,0.33270625894688494,58.51428571428573,0.9142857142857141,453.400390625,5.434475364903795,70
forest,0,4096,8192,0,1.0,True,0,1,random,False,8,-2,0.277099609375,0.17597144218953553,0.2998046875,0.18664693575144972,104.0,4096.0,935.5287275118814,104,935.5287275118814,14,0,3.5735141084142983,0.2284005682402054,39.38461538461537,0.6153846153846154,213.67529296875,4.744252058304894,104
forest,0,4096,8192,0,1.0,True,0,1,random,False,9,-2,0.256103515625,0.16422057091495051,0.2984619140625,0.19288283612593618,191.0,4096.0,541.3076759108446,191,541.3076759108446,4,0,4.478092382764096,0.13215519431417105,21.445026178010476,0.3350785340314136,71.53662109375,3.8396737839552686,191
forest,0,4096,8192,0,1.0,True,0,1,random,False,10,-2,0.252685546875,0.16254939152960263,0.2923583984375,0.1935992781426823,216.0,4096.0,597.3909942407903,216,597.3909942407903,7,0,4.395203648677095,0.14584741070331794,18.962962962962962,0.2962962962962962,87.1279296875,3.922562518042216,216
forest,0,4096,8192,0,1.0,True,0,1,random,False,11,-2,0.243408203125,0.1559232713370113,0.2930908203125,0.20025158175806387,308.0,4096.0,507.87203112595205,308,507.87203112595205,4,0,4.799708011331185,0.12399219509910939,13.298701298701301,0.2077922077922078,62.97216796875,3.518058155388215,308
forest,0,4096,8192,0,1.0,True,0,1,random,False,12,-2,0.21435546875,0.13587163023902957,0.3072509765625,0.22146535747113508,557.0,4096.0,449.7332542741308,557,449.7332542741308,4,0,5.272259041774198,0.10979815778177021,7.3536804308797095,0.11490125673249553,49.3798828125,3.045507124945157,557
forest,0,4096,8192,0,1.0,True,0,1,random,False,13,-2,0.21826171875,0.1414798535755494,0.308837890625,0.21580529859691266,510.0,4096.0,552.382114120289,510,552.382114120289,2,0,5.186540282299199,0.13485891458014868,8.031372549019608,0.12549019607843137,74.49365234375,3.131225884420131,510
forest,0,4096,8192,0,1.0,True,0,1,random,False,14,-2,0.1904296875,0.12157952937350577,0.3248291015625,0.24352000141822738,739.0,4096.0,329.887859734183,739,329.887859734183,1,0,5.81683018787076,0.08053902825541577,5.542625169147498,0.08660351826792963,26.56884765625,2.5009359788485965,739
forest,0,4096,8192,0,1.0,True,0,1,random,False,15,-2,0.161865234375,0.10468489006340198,0.322509765625,0.2580064973291863,925.0,4096.0,261.97328108034225,925,261.97328108034225,0,0,6.1185778601839695,0.06395832057625543,4.428108108108107,0.0691891891891892,16.75537109375,2.199188306535402,925
forest,0,4096,8192,0,1.0,True,0,1,random,False,16,-2,0.221435546875,0.13979703984798955,0.302734375,0.21237350322972476,515.0,4096.0,390.83756216617667,515,390.83756216617667,1,0,5.393544562413512,0.09541932670072673,7.953398058252429,0.12427184466019416,37.29345703125,2.9242216043058327,515
forest,0,4096,8192,0,1.0,True,0,1,random,False,17,-2,0.11669921875,0.0728693471458397,0.346923828125,0.2897829990166965,1306.0,4096.0,222.38255327250832,1306,222.38255327250832,1,0,6.605137751676143,0.054292615545045976,3.1362940275650852,0.04900459418070444,12.07373046875,1.7126284150432147,1306
forest,0,4096,8192,0,1.0,True,0,1,random,False,18,-2,0.083251953125,0.05376595838389531,0.337158203125,0.3049570197194461,1482.0,4096.0,182.5869655807884,1482,182.5869655807884,0,0,6.79702310178529,0.044576895893747165,2.7638326585695006,0.04318488529014845,8.13916015625,1.5207430649340603,1482
forest,0,4096,8192,0,1.0,True,0,1,random,False,19,-2,0.12353515625,0.0784930987789957,0.324951171875,0.2773462051227048,1223.0,4096.0,233.12657506170333,1223,233.12657506170333,0,0,6.436359897508838,0.056915667739673666,3.3491414554374477,0.05233033524121014,13.2685546875,1.881406269210508,1223
forest,0,4096,8192,0,1.0,True,0,1,random,False,20,-2,0.0361328125,0.02244946056483853,0.3570556640625,0.3427020220618398,1870.0,4096.0,144.35373219975992,1870,144.35373219975992,0,0,7.1580787013202105,0.03524261040033201,2.1903743315508026,0.03422459893048129,5.08740234375,1.1596874653991416,1870
forest,0,4096,8192,0,1.0,True,0,1,random,False,21,-2,0.034912109375,0.02143027542518704,0.35546875,0.33988133694982087,1888.0,4096.0,160.60510577189007,1888,160.60510577189007,0,0,7.12274569621256,0.03921023090134035,2.1694915254237293,0.03389830508474577,6.29736328125,1.1950204705068006,1888
forest,0,4096,8192,0,1.0,True,0,1,random,False,22,-2,0.01171875,0.007113308376736108,0.3509521484375,0.3489362768479338,2025.0,4096.0,146.02739469017448,2025,146.02739469017448,0,0,7.228344198752396,0.03565121940678088,2.022716049382716,0.03160493827160494,5.2060546875,1.0894219679669468,2025
forest,0,4096,8192,0,1.0,True,0,1,random,False,23,-2,0.00634765625,0.003904506138392856,0.3470458984375,0.34511060303841573,2032.0,4096.0,143.19217855735,2032,143.19217855735,0,0,7.236652942563964,0.034959027968103025,2.015748031496063,0.031496062992125984,5.005859375,1.0811132241553865,2032
forest,0,4096,8192,0,1.0,True,0,1,random,False,24,-2,0.020751953125,0.012940861389491333,0.3544921875,0.3459007079224223,1965.0,4096.0,144.53373308677806,1965,144.53373308677806,0,0,7.203385371090578,0.035286555929389174,2.0844783715012727,0.03256997455470738,5.10009765625,1.1143807956287726,1965
forest,0,4096,8192,0,1.0,True,0,1,random,False,25,-2,0.007568359375,0.0048658582899305525,0.3525390625,0.3500647641405646,2032.0,4096.0,141.18073522970477,2032,141.18073522970477,0,0,7.262016480457154,0.03446795293693964,2.015748031496063,0.031496062992125984,4.8662109375,1.0557496862621965,2032
forest,0,4096,8192,0,1.0,True,0,1,random,False,26,-2,0.000732421875,0.00044759114583333337,0.3543701171875,0.3540920681423612,2120.0,4096.0,142.81456508353762,2120,142.81456508353762,0,0,7.2985540683931625,0.03486683717859805,1.932075471698113,0.03018867924528302,4.9794921875,1.0192120983261874,2120
forest,0,4096,8192,0,1.0,True,0,1,random,False,27,-2,0.0,0.0,0.359130859375,0.359130859375,2104.0,4096.0,144.18044250174847,2104,144.18044250174847,0,0,7.279026334357239,0.035200303345153436,1.9467680608365014,0.03041825095057034,5.0751953125,1.0387398323621098,2104
forest,0,4096,8192,0,1.0,True,0,1,random,False,28,-2,0.00048828125,0.0002848307291666667,0.3609619140625,0.36083984375,2084.0,4096.0,142.2884394460773,2084,142.2884394460773,0,0,7.272574922160293,0.034738388536639964,1.9654510556621885,0.030710172744721695,4.94287109375,1.0451912445590574,2084
forest,0,4096,8192,0,1.0,True,0,1,random,False,29,-2,0.0,0.0,0.352783203125,0.352783203125,2050.0,4096.0,155.68558057829247,2050,155.68558057829247,0,0,7.22817694503728,0.038009174945872186,1.9980487804878058,0.03121951219512195,5.91748046875,1.0895892216820737,2050
forest,0,4096,8192,0,1.0,True,0,1,random,False,None,-2,0.0,0.0,0.355712890625,0.355712890625,2097.0,4096.0,139.11146609823362,2097,139.11146609823362,0,0,7.286587252155182,0.03396276027788907,1.9532665712923218,0.030519790176442532,4.724609375,1.0311789145641668,2097
forest,0,4096,8192,0,1.0,True,0,2,random,False,None,-2,0.0,0.0,0.352783203125,0.28509521484375,4096.0,4096.000000000002,123.19902597017561,3087,96.64367542679655,0,0,7.552052490396088,0.05005299620601367,1.9716004813477743,0.03080625752105896,5.130859374999999,1.4361881157695382,4155
