model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,n_estimators,bootstrap,n_features,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves,IRM_scaled_L0,IRM_scaled_L1,IRM_scaled_L2,mean_affine_mat_norm
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,5,-2,0.44420000000000004,0.05771892322429904,0.45399999999999996,0.0598714909814414,32.0,10000.0,2508.6446539914737,32,2508.6446539914737,32,32,3.0579294382653357,0.25086446539914736,312.5,3.125,629.3297999999844,6.152410933710967,32,32.0,32.0,5.656854249492381,0.2014997595547301
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,2,False,sqrt,5,-2,0.348,0.05151854043832631,0.36939999999999995,0.05326647389585855,64.0,10000.0,2125.093997921033,518,1346.8296106041032,47,0,3.4650723527208527,0.3799499703908398,312.5,3.125,360.90494999999424,6.990730906885361,64,64.0,31.999999999999982,4.213086622182516,0.12701800895247045
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,3,False,sqrt,5,-2,0.27359999999999995,0.045062464978964975,0.2901,0.046449568580640775,96.0,10000.0,1716.9860544311684,2495,813.3129778873567,21,0,4.003731300972291,0.41331535175940415,312.5,3.125,189.81064444443868,7.022337155862532,96,96.0,32.00000000000001,3.7044921281776038,0.1062207411104364
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,False,sqrt,5,-2,0.23050000000000004,0.04292351730767654,0.2601,0.04475555991489011,128.0,10000.0,1544.0533912400822,4352,532.5748773646764,16,0,4.248731913511202,0.47129245697337446,312.5,3.125,138.8228624999994,7.256967072567322,128,128.0,31.99999999999999,3.3514833977199747,0.09046086513938305
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,5,False,sqrt,5,-2,0.2269,0.042947916402923475,0.24439999999999995,0.04475185286231065,160.0,10000.000000000002,1464.2043026845674,5476,473.03065439778845,13,0,4.395637830635434,0.5210536632631998,312.5,3.125,108.59876800000139,7.368972255532279,160,160.0,31.999999999999986,3.1586229325195196,0.07984296397475313
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,10,False,sqrt,5,-2,0.17010000000000003,0.04273136913518673,0.19169999999999998,0.0443772285101152,319.0,10000.0,1379.9976086935803,8449,247.81848195806543,9,0,4.818486885778559,0.7722942444431398,313.4796238244514,3.1347962382445136,59.64384000000011,7.826860841141034,319,319.0,31.899999999999995,2.592163621325884,0.05343675333850499
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,15,False,sqrt,5,-2,0.1664,0.042818696788293704,0.19230000000000003,0.04472475208072966,479.0,10000.0,1404.6445845440364,8917,203.1403455741867,8,0,5.014514831108223,0.9830150253175177,313.1524008350729,3.13152400835073,42.947490666666376,7.998382216083999,479,479.0,31.933333333333334,2.4527418258487446,0.043655496146188535
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,5,-2,0.15580000000000005,0.04274950209615479,0.17310000000000003,0.044243410210764826,639.0,10000.000000000002,1298.004828573453,9342,137.86225009044355,8,0,5.209520391710129,1.0947928297171114,312.9890453834116,3.1298904538341157,29.964283499999958,8.05547974632347,639,639.0,31.950000000000003,2.353395303725839,0.037473640827890106
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,5,-2,0.3891,0.05441616935459912,0.42810000000000004,0.05842659248090265,32.0,10000.0,2142.8215044655494,32,2142.8215044655494,32,32,3.230858838705494,0.21428215044655494,312.5,3.125,459.1683999999998,5.9794815332703335,32,32.0,32.0,5.656854249492381,0.21049955804044068
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,2,False,sqrt,5,-2,0.32809999999999995,0.04875737081747688,0.33520000000000005,0.049452827852756794,64.0,10000.0,1813.504755990455,653,1143.907338904686,63,0,3.7333004599340707,0.32462516846356815,312.5,3.125,263.4537500000003,6.697946682333156,64,64.0,31.999999999999993,4.251022594074923,0.13202248075786177
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,3,False,sqrt,5,-2,0.27949999999999997,0.04739818322057067,0.2953,0.04892087372254179,96.0,9999.999999999998,1812.3263135171508,2691,1017.4880834683029,20,0,3.9520901533613904,0.43113529199080886,312.5,3.125,206.53071111111456,7.114099206064758,96,96.0,32.0,3.6475735181915896,0.10266972553755001
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,False,sqrt,5,-2,0.2349,0.043388337398495826,0.2572,0.045373489831120294,128.0,10000.0,1435.9489022942284,4631,447.84372274265496,16,0,4.314626063442011,0.4503548378778671,312.5,3.125,126.76217500000115,7.207966231556646,128,128.0,32.00000000000001,3.3427892338060032,0.08987132711369536
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,5,False,sqrt,5,-2,0.23340000000000005,0.04439118758321241,0.24929999999999997,0.04553458964507902,160.0,10000.0,1602.858596383349,5765,703.9218706646357,12,0,4.314940330962479,0.5468822176666563,312.5,3.125,119.63206399999763,7.414566828465395,160,160.0,32.0,3.144949604219309,0.0789004989455643
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,10,False,sqrt,5,-2,0.19720000000000004,0.0443705662796758,0.22040000000000004,0.04599675827618453,316.0,10000.0,1357.5692100220895,8589,238.33170162611603,9,0,4.820872074359303,0.7719582113042129,316.45569620253167,3.164556962025316,59.59194800000021,7.830064418948049,316,316.0,31.599999999999987,2.5929752765698932,0.05307566116608957
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,15,False,sqrt,5,-2,0.1593,0.042613837274225026,0.1745,0.043769578852246784,480.0,10000.0,1368.566744201149,8925,271.0977683419766,9,0,5.0228580019722004,0.9558980698798382,312.5,3.125,40.61071644444462,7.964923580224134,480,480.0,32.00000000000001,2.4436030310853103,0.043710994785403724
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,5,-2,0.15459999999999996,0.0424684136174124,0.16769999999999996,0.04413768004948253,639.0,10000.0,1306.548694079176,9369,137.79695207079146,8,0,5.235076820428943,1.093550437794252,312.9890453834116,3.1298904538341157,29.896314000000103,8.048093578099303,639,639.0,31.950000000000014,2.3376455309028117,0.037527415600051954
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,5,-2,0.43999999999999995,0.05616801485437567,0.45289999999999997,0.05837895213881722,32.0,10000.0,2523.9203632444505,32,2523.9203632444505,32,32,3.030445920166054,0.25239203632444507,312.5,3.125,637.0173999999986,6.179894451810053,32,32.0,32.0,5.656854249492381,0.20549898833245592
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,2,False,sqrt,5,-2,0.3348,0.04847767672772929,0.3418,0.04972989994653072,64.0,10000.0,1819.8972498468147,644,1122.3288288197894,63,0,3.7217387016545596,0.32754938558941,312.5,3.125,268.2215000000061,6.728177928098385,64,64.0,32.0,4.256071854783826,0.13342363247619754
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,3,False,sqrt,5,-2,0.28890000000000005,0.04720235769414507,0.3023,0.0484636819865113,96.0,10000.0,1667.4495494616917,2810,852.6136287909078,22,0,4.020168839242836,0.40649132832078966,312.5,3.125,183.5946666666671,7.055655382068685,96,96.0,31.999999999999996,3.643578240442913,0.1028301988302542
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,False,sqrt,5,-2,0.25270000000000004,0.046336200883887554,0.27959999999999996,0.04790112631517514,128.0,10000.000000000004,1570.6095154429697,4641,656.0594485258176,12,0,4.243662560733098,0.47257350750967836,312.5,3.125,139.57857499999835,7.2521658537811495,128,128.0,31.999999999999996,3.334844664429573,0.08769756477392596
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,5,False,sqrt,5,-2,0.24480000000000002,0.04468662079571491,0.25939999999999996,0.046328704329334544,160.0,10000.000000000002,1670.3666184403953,5246,634.0914760505774,16,0,4.211043168850355,0.5706550621873077,312.5,3.125,130.25888000000086,7.482718667709348,160,160.0,31.999999999999993,3.1247515682505766,0.07880025957630535
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,10,False,sqrt,5,-2,0.1642,0.041649248431256655,0.18210000000000004,0.04304007524489233,320.0,10000.000000000002,1369.6884901319713,8408,252.42820761555154,9,0,4.860912035685644,0.7541623167462029,312.5,3.125,56.876079999999895,7.742009098528179,320,320.0,32.00000000000001,2.651820708439991,0.054654576218706896
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,15,False,sqrt,5,-2,0.15880000000000005,0.041368549625516976,0.1714,0.04315432334882306,480.0,10000.0,1305.1752440870835,9114,190.01052602421794,8,0,5.109821331524594,0.9154691911801293,312.5,3.125,37.248170666666574,7.8902819753997395,480,480.0,31.999999999999982,2.476973644423353,0.044305292841122355
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,5,-2,0.1482,0.04189783778973118,0.1652,0.04349716941354677,639.0,10000.000000000002,1303.1338380995255,9401,188.81207588499205,8,0,5.262466824953356,1.0940007495427049,312.9890453834116,3.1298904538341157,29.92094100000011,8.058508866917037,639,639.0,31.94999999999998,2.3410388274579463,0.03761992185736981
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,sqrt,5,-2,0.39159999999999995,0.05363937111414485,0.40890000000000004,0.0559037211963869,32.0,10000.0,2360.9116883102597,32,2360.9116883102597,32,32,3.1010081891287733,0.23609116883102596,312.5,3.125,557.3904000000003,6.109332182847564,32,32.0,32.0,5.656854249492381,0.21201330852384262
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,2,False,sqrt,5,-2,0.33009999999999995,0.04884434349957807,0.35219999999999996,0.05094757558931986,64.0,10000.0,1880.9190572696104,629,1221.1895839713013,63,0,3.6691508085139057,0.3341978156720956,312.5,3.125,279.2204499999984,6.756708531023831,64,64.0,31.999999999999986,4.261443364367844,0.13263339250368567
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,3,False,sqrt,5,-2,0.2661,0.045029008201225726,0.2953,0.04704155575101219,96.0,10000.000000000002,1724.7374035229573,2657,814.6704855338752,18,0,3.9954528333259205,0.421223503617735,312.5,3.125,197.14360000000022,7.0873540682708915,96,96.0,31.999999999999993,3.681391217173443,0.10561799517059653
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,False,sqrt,5,-2,0.2349,0.0432502338770389,0.2459,0.04425806349574698,128.0,9999.999999999998,1593.0907067709607,4568,749.8786568505601,14,0,4.224910749632661,0.47424048751661846,312.5,3.125,140.5650250000008,7.2644897778671,128,128.0,31.99999999999999,3.330839110969256,0.08936468626467978
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,5,False,sqrt,5,-2,0.2348,0.04573592179707445,0.26459999999999995,0.04745128472171633,160.0,9999.999999999998,1581.9619464449827,5834,803.081564973322,12,0,4.338140613667692,0.5409714040501586,312.5,3.125,117.06002400000062,7.419702616440861,160,160.0,31.999999999999993,3.114147889591025,0.07709489581395632
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,10,False,sqrt,5,-2,0.17559999999999998,0.041874224957265505,0.19720000000000004,0.04319863200772987,317.0,10000.000000000002,1353.8283126009735,8219,333.0045044740386,11,0,4.814099818919068,0.7414296864841601,315.45741324921147,3.154574132492113,54.97179800000035,7.716204461991592,317,317.0,31.699999999999996,2.6821148562734343,0.054917157040952215
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,15,False,sqrt,5,-2,0.15510000000000002,0.04083207636794954,0.17669999999999997,0.04249422845975851,479.0,10000.000000000004,1399.0390575121357,8919,254.01574754333637,8,0,5.039388984210053,0.948323626195193,313.1524008350729,3.13152400835073,39.96967555555587,7.905450636525205,479,479.0,31.93333333333333,2.4760530311103564,0.04461543458847355
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,5,-2,0.1483,0.041634339188196645,0.16610000000000003,0.04322846289254785,639.0,10000.0,1287.3777126391465,9497,135.16656391282572,7,0,5.286430503090669,1.0719429742295064,312.9890453834116,3.1298904538341157,28.726543500000083,8.002807801280895,639,639.0,31.949999999999996,2.3509743376443386,0.03782593222609016
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,6,-2,0.10960000000000003,0.03314404655317401,0.13480000000000003,0.03581219399923061,1257.0,10000.0,1138.271999567766,9449,148.90265276347498,7,0,5.772081417187472,0.9052851594939575,159.10898965791569,1.5910898965791564,20.488530500000028,7.6836099126390796,1257,1257.0,62.84999999999998,2.9819413957995913,0.04216137527604393
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,8,-2,0.049799999999999955,0.01902416486807714,0.09009999999999996,0.02468116126935075,4674.0,10000.000000000005,915.1444230284093,9525,122.01639234135715,5,0,6.624391057656911,0.6832928361983609,42.78990158322636,0.42789901583226364,11.672227499999952,7.003808594009484,4674,4674.0,233.70000000000056,5.530566455353515,0.050918049205313606
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,10,-2,0.013000000000000012,0.008021247707087151,0.06630000000000003,0.018336111493413736,10000.0,10000.000000000011,948.7697718624894,9407,220.7170133904498,5,0,6.974043600809713,0.6402392365358437,16.26148467355069,0.16261484673550694,10.247657000000027,6.604978618355291,12299,10000.0,614.9500000000016,10.69728970778908,0.05897843471276358
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,15,-2,9.999999999998899e-05,0.0002733587088167533,0.06040000000000001,0.015212974623891854,10000.0,10000.00000000002,824.9470073889597,9562,154.6544535407888,3,0,7.4177821487569515,0.5510887587312955,6.742406364831609,0.06742406364831609,7.5924704999999895,6.065195229604032,29663,10000.0,1483.1500000000028,22.460124289762053,0.06944453979561757
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,25,-2,0.0,4.173186530206857e-07,0.060899999999999954,0.015131716947048152,10000.0,10000.00000000002,731.0225577914819,9733,116.86744627996283,3,0,7.5346548002753915,0.5132382682536446,6.20347394540943,0.0620347394540943,6.585337999999984,5.934536513003381,32240,10000.0,1612.0000000000075,24.24668728582115,0.07066476624614429
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,None,-2,0.0,0.0,0.05889999999999995,0.015215549999999722,10000.0,10000.000000000015,693.0786066529542,9798,107.08874824182044,3,0,7.598936824043874,0.4926745173032598,6.167129201356769,0.06167129201356768,6.068204499999992,5.885670542917942,32430,10000.0,1621.500000000005,24.293726685141888,0.0706704639916855
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,6,-2,0.10970000000000002,0.03346578408307758,0.1341,0.036172749262497965,1259.0,10000.000000000005,1149.6873814215762,9460,171.23667831396403,8,0,5.681828945721185,0.933386854417824,158.85623510722792,1.5885623510722797,21.780275500000002,7.715915359683042,1259,1259.0,62.95,3.00853313530191,0.04240050187852255
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,8,-2,0.051899999999999946,0.019705075174721712,0.09040000000000004,0.02526588881896762,4519.0,10000.000000000007,954.1881811257148,9536,152.80052355931247,5,0,6.5574285336948,0.7059871811867408,44.257579110422654,0.4425757911042266,12.46044750000001,7.067234395407705,4519,4519.0,225.95000000000044,5.398823715261487,0.05040620616339819
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,10,-2,0.012599999999999945,0.008147021252038096,0.0706,0.01862995773605943,10000.0,10000.000000000011,896.6765024243691,9538,138.20274961085252,4,0,7.029938466859455,0.6235179548337001,16.34120434676035,0.16341204346760355,9.719365999999969,6.595092973638301,12239,10000.0,611.9500000000016,10.594340820624588,0.05883709794784969
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,15,-2,0.00029999999999996696,0.00029880631817393017,0.059599999999999986,0.015150935376930286,10000.0,10000.000000000016,822.2983613020276,9681,121.93440859740946,3,0,7.417487791878243,0.5547159813814633,6.732419968357628,0.06732419968357627,7.69274549999998,6.0732689026126945,29707,10000.0,1485.3500000000065,22.410758704038475,0.06943155957395661
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,25,-2,0.0,1.0683295783367536e-06,0.062000000000000055,0.015103368354969778,10000.0,10000.000000000016,697.2987021356057,9840,103.81714694596457,3,0,7.557162090781734,0.5026322313580776,6.187353050365053,0.061873530503650555,6.315979000000006,5.913095682884528,32324,10000.0,1616.200000000006,24.33057417947069,0.07065828594572757
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,None,-2,0.0,0.0,0.06159999999999999,0.014994549999999735,10000.0,10000.000000000022,722.6307390361972,9817,108.0555412739208,3,0,7.556792323390516,0.5080040354170426,6.18601342364913,0.0618601342364913,6.451702499999999,5.913372431321046,32331,10000.0,1616.5500000000106,24.262425852718163,0.0706704639916855
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,6,-2,0.10660000000000003,0.03399460178188401,0.12770000000000004,0.036113279840653614,1258.0,10000.000000000004,1181.3590605738798,9302,197.25110899561503,6,0,5.723093674562632,0.923223396583947,158.98251192368843,1.5898251192368837,21.308535999999894,7.698945847563878,1258,1258.0,62.900000000000006,2.982385341041477,0.04193150515273316
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,8,-2,0.04930000000000001,0.01865508923334723,0.09340000000000004,0.02431658326300953,4612.0,10000.000000000007,914.5888639164596,9607,119.44036168732913,6,0,6.577311648657516,0.6903370481149045,43.36513443191673,0.43365134431916735,11.914131000000031,7.019543973061847,4612,4612.0,230.59999999999985,5.473997059694127,0.051149022686299526
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,10,-2,0.013000000000000012,0.007666220929793343,0.07179999999999997,0.0183994099435972,10000.0,10000.000000000013,866.524128342656,9616,116.02585918664856,4,0,7.058193036469405,0.6100522108803476,15.729453401494295,0.157294534014943,9.304092499999932,6.545820890012493,12715,10000.0,635.7500000000035,10.95134199520992,0.05936302280020681
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,15,-2,0.00019999999999997797,0.0002737965801293847,0.06279999999999997,0.015362786941327223,10000.0,10000.000000000015,821.4012265634863,9572,140.48487463068756,4,0,7.415268168559165,0.5529820792756308,6.704210244033256,0.06704210244033253,7.64472950000004,6.083290899538524,29832,10000.0,1491.6000000000026,22.489472938618267,0.06940519338347309
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,25,-2,0.0,5.506131533455353e-07,0.058699999999999974,0.015144892875751045,10000.0,10000.000000000022,684.1989622909408,9838,103.76897416858277,3,0,7.579426572807872,0.49484486457878896,6.2181320731252345,0.062181320731252335,6.1217859999999975,5.908315150509982,32164,10000.0,1608.2000000000091,24.13420002254151,0.07066288527330669
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,None,-2,0.0,0.0,0.05910000000000004,0.015155549999999731,10000.0,10000.000000000013,710.1364904016693,9844,103.57605900979242,3,0,7.565956817919355,0.5042171555986567,6.151764018332257,0.06151764018332258,6.355873500000022,5.908403183831007,32511,10000.0,1625.5500000000031,24.37567156060308,0.0706704639916855
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,6,-2,0.10819999999999996,0.033264685020100944,0.12980000000000003,0.035661324532696305,1273.0,10000.000000000002,1135.3346533071208,9449,159.78110025907318,8,0,5.782775648263519,0.9103806786174672,157.10919088766698,1.571091908876669,20.71982449999999,7.681773568497504,1273,1273.0,63.64999999999999,2.988171162566015,0.04219447104338643
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,8,-2,0.047599999999999976,0.019374143541580742,0.09119999999999995,0.024951461705168147,4477.0,10000.000000000005,925.8162884719627,9657,122.81693694275232,5,0,6.575534503141956,0.6999743709593945,44.67277194549922,0.4467277194549922,12.249103000000012,7.070363382080437,4477,4477.0,223.8500000000001,5.358285629947137,0.050500393630118635
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,10,-2,0.012599999999999945,0.007552557611628899,0.06889999999999996,0.01818547599808604,10000.0,10000.000000000013,930.9730688908247,9490,206.82359633272023,3,0,7.015919811970129,0.6336233108085592,15.661707126076738,0.15661707126076743,10.036962500000019,6.584306979038753,12770,10000.0,638.500000000003,10.973332872298586,0.05933595641077939
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,15,-2,0.00019999999999997797,0.00027793213624048075,0.061000000000000054,0.015231294970184864,10000.0,10000.00000000002,791.3589609020675,9731,106.53637876331258,4,0,7.424630613103302,0.5524097573359833,6.699045386032493,0.06699045386032489,7.628913500000003,6.114138274033639,29855,10000.0,1492.7500000000073,22.614043045416505,0.0694628061865346
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,25,-2,0.0,1.5611457235152617e-06,0.06299999999999994,0.015150998317242583,10000.0,10000.000000000022,689.7417306499586,9893,101.89209979188769,3,0,7.575303626939077,0.5011257526809014,6.173030031791104,0.06173030031791105,6.278175500000006,5.926367027671353,32399,10000.0,1619.950000000007,24.370832747457726,0.07065687408480084
forest,3,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,sqrt,None,-2,0.0,0.0,0.05940000000000001,0.014944299999999739,10000.0,10000.000000000015,712.8269004463847,9775,109.57189420649804,3,0,7.559955448235489,0.5038833198271203,6.197130728472718,0.06197130728472717,6.347459999999997,5.9046193909687625,32273,10000.0,1613.6500000000092,24.223892536558683,0.07067046399168551
