model,rep,n_train_samples,n_test_samples,save_path,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,n_parameters,depth,width
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,4,6000,0.01,32,0,0,True,True,0.68725,0.0698504547066542,0.6952,0.1288916501873133,249.75,176.90763833141858,3,3083.300504329736,2,3,6209.137246963969,0.1769076383314185,249.75,7.901740314639554,3190,1,4
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,8,6000,0.01,32,0,0,True,True,0.4105,0.0432790600025077,0.4603,0.2658636954275755,336.37500000000006,154.94963899602996,21,1932.5330527574424,5,21,16997.510053187096,0.3025678642883279,336.375,7.490619133289317,6370,1,8
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,16,6000,0.01,32,0,0,True,True,0.2069999999999999,0.0242938734343543,0.3096,0.4451665958006534,245.25,96.379255742613,60,1303.984662486488,8,60,24973.4057247006,0.3736564264133564,245.25,4.7909419741842,12730,1,16
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,32,6000,0.01,32,0,0,True,True,0.0182499999999999,0.0065538583975426,0.2067999999999999,1.4380142739874515,172.5625,56.454679694202525,254,857.2782512113555,18,254,34575.51272573503,0.4318661540338627,172.5625,3.150210806438197,25450,1,32
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,38,6000,0.01,32,0,0,True,True,0.018,0.0057258275111481,0.2282999999999999,1.779047118838491,142.26315789473688,45.42934607458644,253,866.4756199686175,21,253,33414.67330234012,0.4158725766385661,142.26315789473682,2.582435879020441,30220,1,38
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,40,6000,0.01,32,0,0,True,True,0.017,0.0050489463729874,0.244,1.9791493577472352,135.8,42.07742862866028,274,850.26701688352,22,274,33239.97261463432,0.4059339539875914,135.8,2.4644979204698068,31810,1,40
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,42,6000,0.01,32,0,0,True,True,0.01675,0.0046757227267782,0.2556,2.1561119578255115,128.21428571428572,39.34983943989579,280,848.746134011814,24,280,32776.529485994375,0.3998597410342782,128.21428571428572,2.323960767911896,33400,1,42
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,44,6000,0.01,32,0,0,True,True,0.0162499999999999,0.0043301776461567,0.2625999999999999,2.343811810439754,121.1590909090909,36.56884569147092,279,847.365328533095,24,279,32205.13517602068,0.3902690578306202,121.15909090909088,2.1949180598045563,34990,1,44
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,46,6000,0.01,32,0,0,True,True,0.0162499999999999,0.0041381659404679,0.2703,2.4707717316541578,114.21739130434784,34.33286685803956,286,852.4541043364153,24,286,31608.214527227163,0.383790144480027,114.2173913043478,2.068989689796431,36580,1,46
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,48,6000,0.01,32,0,0,True,True,0.01575,0.0039294622807947,0.2747,2.5751467058610427,109.58333333333336,32.45470936123481,295,844.6916597196873,24,295,31439.911994566974,0.378706845726348,109.58333333333331,1.987810073646094,38170,1,48
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,50,6000,0.01,32,0,0,True,True,0.015,0.0037003060994438,0.2766999999999999,2.7697292188766425,104.32000000000002,30.71712226104522,293,854.6133628723576,25,293,31039.24681095212,0.3737653006901523,104.32,1.8933568073662184,39760,1,50
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,51,6000,0.01,32,0,0,True,True,0.0054999999999999,0.0023121545405517,0.1148,0.7207481327548805,314.9411764705882,119.32164086719035,1267,431.03828136257226,44,1267,113263.38350732284,1.0522345864872529,314.9411764705883,5.495305745492923,40555,1,51
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,52,6000,0.01,32,0,0,True,True,0.008,0.0025149911531798,0.1128,0.629272005224106,231.2692307692308,67.93532100635638,1264,480.8534080153743,46,1264,77137.95418198571,0.6207264896876885,231.2692307692308,4.355758617748999,41350,1,52
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,54,6000,0.01,32,0,0,True,True,0.006,0.0019477264462982,0.0999999999999999,0.6620407095767731,362.0,115.00283291077412,1879,321.78564293641193,50,1879,136254.62039773964,0.92072987352426,362.0,6.444444444444444,42940,1,54
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,56,6000,0.01,32,0,0,True,True,0.00475,0.0016473785831585,0.1038,0.5923885357050794,377.5357142857143,116.65712667506274,2374,288.9532834213863,55,2374,145743.27936762047,0.9846540636182842,377.5357142857143,6.820026033824271,44530,1,56
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,58,6000,0.01,32,0,0,True,True,0.00475,0.0018704314612077,0.1037,0.8948632865097259,370.9310344827586,119.8147772861247,2300,263.9848480500349,56,2300,149982.21734754054,1.0613552656862828,370.9310344827586,6.554718009246257,46120,1,58
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,60,6000,0.01,32,0,0,True,True,0.0062499999999999,0.0022732016581811,0.1129,0.4066795876732075,302.46666666666664,105.00214812617456,1952,346.4274815888601,52,1952,126146.63364665904,0.9682783690654252,302.4666666666667,5.460667439872977,47710,1,60
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,62,6000,0.01,32,0,0,True,True,0.0034999999999999,0.0018799699877073,0.1022999999999999,0.5609233862402254,384.3870967741936,129.84850293661583,2495,205.0219500443794,60,2495,169248.2683109125,1.1512548045502349,384.3870967741935,6.686724076569233,49300,1,62
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,64,6000,0.01,32,0,0,True,True,0.007,0.0019685848257153,0.0990999999999999,0.4877231738671347,351.328125,111.47432505507432,2215,312.0032051117424,61,2215,158548.43705131608,1.0325843488548527,351.328125,6.10153749194619,50890,1,64
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,128,6000,0.01,32,0,0,True,True,0.0002499999999999,0.0009817535076669,0.0748999999999999,0.4384068323122265,631.375,210.5224632183731,3967,63.90618123468183,128,3967,634357.7501188399,2.4233841007978905,631.375,10.565377289317452,101770,1,128
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,256,6000,0.01,32,0,0,True,True,0.0,0.0005119877590589,0.0632,0.4850874069382174,836.0937500000003,319.077663665822,4000,63.24555320336759,256,0,1848154.153930849,4.400559311042177,836.09375,13.600601048371102,203530,1,256
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,512,6000,0.01,32,0,0,True,True,0.0,0.0001208417825538,0.056,0.247211160502682,1270.4628906250002,613.9403669151916,4000,63.24555320336759,512,0,6509803.192450576,8.79735545846023,1270.462890625,20.22215532401248,407050,1,512
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,1024,6000,0.01,32,0,0,True,True,0.0,2.548635284710817e-05,0.0544,0.1796230507556666,1437.8691406250002,718.2627842964034,4000,63.24555320336759,1024,0,15789443.557387283,13.493807223130172,1437.869140625,22.79559891536693,814090,1,1024
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,4,6000,0.01,32,0,0,True,True,0.78525,0.080472502972192,0.7907,0.137025527060927,398.75,398.75,2,2885.8361006820883,1,2,11762.533279274216,0.39875,398.75,9.98436277385793,3190,1,4
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,8,6000,0.01,32,0,0,True,True,0.58775,0.0613174512604314,0.6129,0.2229178962151667,314.0,226.22292655696944,8,2352.9819378822267,3,8,17562.19560354971,0.4127385673764931,314.0,7.584935728139032,6370,1,8
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,16,6000,0.01,32,0,0,True,True,0.21275,0.024911442143457,0.3157999999999999,0.5012336492544404,269.875,117.69415475077766,60,1303.5643444034513,7,60,28343.801251729423,0.4249970588133522,269.875,5.300353761778547,12730,1,16
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,32,6000,0.01,32,0,0,True,True,0.01975,0.0052936194328724,0.1643,0.6071922616206373,181.46875000000003,57.72015428719418,303,842.2541184227002,23,303,36187.62411353626,0.4426713651231577,181.46875,3.2214794252796337,25450,1,32
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,38,6000,0.01,32,0,0,True,True,0.0182499999999999,0.0044072852382403,0.1726999999999999,0.6642138973602247,152.31578947368425,46.691523191583066,343,841.7505568753727,28,343,35473.155778704386,0.4275052631254965,152.3157894736842,2.716778685611472,30220,1,38
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,40,6000,0.01,32,0,0,True,True,0.0182499999999999,0.0039435826013796,0.1805,0.7005723695377926,143.175,42.98439397037022,360,850.8572148133904,28,360,34767.89451116152,0.4159297566897564,143.17500000000004,2.5533066795823807,31810,1,40
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,42,6000,0.01,32,0,0,True,True,0.0174999999999999,0.0035465549690192,0.1875,0.7141822778100726,133.26190476190482,39.54287405954313,352,870.6354001532444,30,352,33692.412400758825,0.4034847425863833,133.2619047619048,2.3672223166822834,33400,1,42
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,44,6000,0.01,32,0,0,True,True,0.0154999999999999,0.0031704008715183,0.2048999999999999,0.7344424242839375,126.11363636363636,37.01512283083521,353,874.0640708781021,31,353,33200.81713481131,0.3965792007909643,126.11363636363636,2.2354904060120457,34990,1,44
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,46,6000,0.01,32,0,0,True,True,0.0154999999999999,0.0030037879880408,0.2155,0.7496732219788559,120.10869565217396,34.92550132384813,347,873.790592762362,32,347,32881.80587227133,0.3915798928698971,120.10869565217388,2.126104738967157,36580,1,46
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,48,6000,0.01,32,0,0,True,True,0.0152499999999999,0.0028480254642416,0.2218,0.8255089547130601,114.83333333333336,33.05934268688489,359,870.0873519365742,34,359,32596.13766862512,0.3872094071687825,114.83333333333331,2.033358947926094,38170,1,48
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,50,6000,0.01,32,0,0,True,True,0.0152499999999999,0.0027174073995533,0.2300999999999999,0.8728452595583217,110.1,31.464831161155143,371,871.9082520540794,35,371,32415.62572314155,0.3841026067341903,110.1,1.9551981996718388,39760,1,50
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,51,6000,0.01,32,0,0,True,True,0.0092499999999999,0.0025127266406222,0.1130999999999999,0.6729593230874189,282.84313725490193,85.1298959979291,1528,420.3950523019984,48,1528,95484.5162961662,0.7150790603143123,282.843137254902,5.201550947248744,40555,1,51
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,52,6000,0.01,32,0,0,True,True,0.0072499999999999,0.0028284152302733,0.1101999999999999,0.628202860850462,312.69230769230774,105.08249788117308,1694,369.3913913452776,43,1694,112029.37876501284,0.9467959125387054,312.69230769230774,5.421849288217261,41350,1,52
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,54,6000,0.01,32,0,0,True,True,0.006,0.0024646179481374,0.1069,0.6000175782334118,377.42592592592587,135.33477644226417,2115,278.6323742855449,51,2115,145257.04793744406,1.073658901839872,377.42592592592587,6.720793644753833,42940,1,54
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,56,6000,0.01,32,0,0,True,True,0.006,0.0024310797670412,0.1139,0.4788595153079121,337.07142857142856,119.51457408352904,1838,308.73289426298584,51,1838,133291.09939441935,1.0763927025022049,337.07142857142856,5.851696073684579,44530,1,56
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,58,6000,0.01,32,0,0,True,True,0.0042499999999999,0.0018184398963124,0.0960999999999999,0.5224965925547342,355.1896551724138,113.47109743206671,2035,356.23587691303635,53,2035,144050.7419880448,0.9667643521044826,355.18965517241384,6.376723613487273,46120,1,58
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,60,6000,0.01,32,0,0,True,True,0.0052499999999999,0.0016914117125074,0.0979999999999999,0.4160935112183715,265.51666666666665,70.54874004702155,1870,359.8249574445886,55,1870,103531.00767654282,0.7145833138969871,265.51666666666665,4.7952233177055135,47710,1,60
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,62,6000,0.01,32,0,0,True,True,0.007,0.0021595334904218,0.1056,0.505284909913781,243.1612903225806,72.53957260814774,1721,357.0434147271169,58,1721,99328.80455126095,0.7564692657339093,243.1612903225806,4.3799752445144975,49300,1,62
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,64,6000,0.01,32,0,0,True,True,0.005,0.0016267600554228,0.0973,0.5792789976999756,320.3125,96.19590098953022,2220,283.08655920053855,63,2220,140376.9356304879,0.9532648503957336,320.3125,5.592484144479088,50890,1,64
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,128,6000,0.01,32,0,0,True,True,0.0004999999999999,0.0009334963037792,0.0709999999999999,0.8287517029621572,588.96875,209.6655475887804,3980,63.608175575157006,128,3980,594906.4388792242,2.430415730898728,588.96875,9.725436054250345,101770,1,128
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,256,6000,0.01,32,0,0,True,True,0.0,0.0005203632468353,0.0627999999999999,0.4528646482970631,704.70703125,219.6205482791636,4000,63.24555320336759,255,0,1471205.4049686417,3.551416293185016,704.70703125,11.608513411206625,203530,1,256
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,512,6000,0.01,32,0,0,True,True,0.0,0.0001184476974548,0.0563,0.2761765068184482,1309.7167968750005,629.9379113588943,4000,63.24555320336759,512,0,6714184.131050327,8.911595665900691,1309.716796875,20.832389881388213,407050,1,512
relu_regressor,1,4000,10000,/mnt/ssd3/ronan/pytorch,1024,6000,0.01,32,0,0,True,True,0.0,2.2764433627347213e-05,0.0525999999999999,0.1685592079113786,1501.6474609375,777.4238095446223,4000,63.24555320336759,1024,0,16712792.269701129,14.048186944851638,1501.6474609375,23.793064526202475,814090,1,1024
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,4,6000,0.01,32,0,0,True,True,0.6885,0.0704399620002282,0.7017,0.2294114775409121,275.0,196.28327743340745,4,3020.163240621275,2,4,6951.337642940023,0.1960679091539459,275.0,8.48528137423857,3190,1,4
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,8,6000,0.01,32,0,0,True,True,0.5805,0.0602837722095835,0.6172,0.2633760524393757,214.375,125.44888152151854,10,2547.2180903880217,4,10,10895.218822238736,0.2494121839445699,214.375,5.498579361980693,6370,1,8
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,16,6000,0.01,32,0,0,True,True,0.3844999999999999,0.04059673481703,0.4609,0.3985383305357338,174.125,79.07813580567007,24,1822.6738600199435,7,24,17636.14668873849,0.3126255747695636,174.125,3.686970300938156,12730,1,16
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,32,6000,0.01,32,0,0,True,True,0.016,0.0074384524921127,0.1741,0.8347160009314931,311.46875,172.1952385965201,210,895.534477281584,16,210,74446.55967364693,1.0983507807162518,311.46875,5.36381466985018,25450,1,32
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,38,6000,0.01,32,0,0,True,True,0.0114999999999999,0.0048717351966952,0.1895,1.2889621492864582,348.4736842105264,222.0530120628968,356,815.7757044678397,22,356,105004.26969153472,1.3606254076710458,348.47368421052624,5.952373301670323,30220,1,38
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,40,6000,0.01,32,0,0,True,True,0.0102499999999999,0.0039290360044177,0.2026,1.727600064607562,332.15,210.6392917999868,393,812.7668792464417,24,393,104882.63963499604,1.3577551325625692,332.15,5.688585061331158,31810,1,40
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,42,6000,0.01,32,0,0,True,True,0.00975,0.0036071837400104,0.2127,2.0492108857483013,315.7619047619048,199.83999835696216,414,817.0667047432541,26,414,104394.57395254388,1.354941788417495,315.7619047619047,5.416758240984162,33400,1,42
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,44,6000,0.01,32,0,0,True,True,0.00975,0.0033816277313473,0.2201999999999999,2.0914880403025955,300.8409090909092,190.28503657573316,426,816.7484312810157,28,426,104068.41715259018,1.3533022343512184,300.840909090909,5.1631942032200655,34990,1,44
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,46,6000,0.01,32,0,0,True,True,0.0094999999999999,0.0032039443142323,0.2270999999999999,2.188615473384713,287.6086956521739,181.2821616078158,435,811.493684510237,30,435,103771.51189862698,1.350777044889348,287.6086956521739,4.936171036244066,36580,1,46
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,48,6000,0.01,32,0,0,True,True,0.0094999999999999,0.0030676301878064,0.2321999999999999,2.098018351402579,275.25000000000006,173.3566265398522,448,815.7095071163508,32,448,103474.08203822174,1.3495361703192694,275.25,4.727284867894278,38170,1,48
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,50,6000,0.01,32,0,0,True,True,0.0094999999999999,0.0029457598069158,0.236,2.0006993859990674,264.8400000000002,166.05015627815592,472,811.8374221480555,34,472,103394.4450166932,1.347944360869543,264.84000000000003,4.5551728836565575,39760,1,50
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,51,6000,0.01,32,0,0,True,True,0.009,0.0029102232858624,0.1138,0.8291327639491973,336.19607843137254,136.26749876167108,1399,385.185669515365,48,1399,123103.83235103608,1.1628942879729007,336.1960784313726,5.637041769201981,40555,1,51
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,52,6000,0.01,32,0,0,True,True,0.00575,0.0027881594673129,0.1109,0.6947957464953397,415.7307692307692,180.05160338540944,1699,340.2851745227817,45,1699,162576.31166443694,1.363055207979486,415.7307692307693,7.069446301225943,41350,1,52
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,54,6000,0.01,32,0,0,True,True,0.00875,0.0022469436426039,0.1054,0.7565256490034897,344.94444444444446,144.68466136590948,1481,361.8065781602098,49,1481,135895.3973093398,1.157046644478951,344.94444444444446,6.012304484357061,42940,1,54
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,56,6000,0.01,32,0,0,True,True,0.0024999999999999,0.0018237364009966,0.1018,0.5530481008834985,414.3392857142857,122.1637030561359,2521,205.0609665440988,54,2521,161887.4059455923,1.037200107259925,414.3392857142857,7.091354502030581,44530,1,56
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,58,6000,0.01,32,0,0,True,True,0.0082499999999999,0.0022925794988024,0.1071999999999999,0.3099471016565678,287.58620689655174,87.15662367903892,1705,394.8999873385665,48,1705,113179.19524617496,0.8104202613459266,287.58620689655174,5.181371553668973,46120,1,58
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,60,6000,0.01,32,0,0,True,True,0.00575,0.0020943792523918,0.1070999999999999,0.5703154663775167,385.15,139.92260062858566,2289,275.16540480227525,58,2289,166117.63746200918,1.1699189341574057,385.15,6.890956231015967,47710,1,60
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,62,6000,0.01,32,0,0,True,True,0.0042499999999999,0.0016877270549544,0.1009999999999999,0.6957264955302965,379.725806451613,134.76523986225112,2381,238.47851056227267,60,2381,168778.70243665078,1.2598785407728792,379.7258064516128,6.482245824258644,49300,1,62
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,64,6000,0.01,32,0,0,True,True,0.0072499999999999,0.0020840764492031,0.1064,0.5031680961201161,329.9375,115.0967154450986,2118,327.2521963257084,54,2118,149879.31376075657,1.0499271998572093,329.9375,6.048429225323712,50890,1,64
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,128,6000,0.01,32,0,0,True,True,0.00075,0.0009963018279621,0.0797,0.5934636817396,461.76562500000006,142.8632504361962,3890,69.62758074211685,125,3890,442976.9077173185,1.9341006954137625,461.765625,7.829808950614631,101770,1,128
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,256,6000,0.01,32,0,0,True,True,0.0,0.0004823185533109,0.0658999999999999,0.4170412227204216,819.1406250000001,286.96216480069216,4000,63.24555320336759,256,0,1777648.454658809,4.139904120266555,819.140625,13.337806968409856,203530,1,256
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,512,6000,0.01,32,0,0,True,True,0.0,0.0001257586324062,0.0562,0.1947985000429019,1105.4140625000002,461.817074442118,4000,63.24555320336759,512,0,5391463.882916262,7.5860312746521155,1105.4140625,17.661080946884375,407050,1,512
relu_regressor,2,4000,10000,/mnt/ssd3/ronan/pytorch,1024,6000,0.01,32,0,0,True,True,0.0,2.448373717297453e-05,0.0517999999999999,0.2324494764814098,1555.0937499999998,823.9531987519197,4000,63.24555320336759,1024,0,17472370.47143753,14.468402831688092,1555.09375,24.630647040853862,814090,1,1024
