model,rep,n_train_samples,n_test_samples,save_path,onehot,out_features,alpha,max_iter,solver,batch_size,learning_rate_init,momentum,tol,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2
rrf,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,10,0,500,sgd,32,0.01,0.95,0,0.54,0.07490791016289908,0.5815,0.3880757010901016,10.0,553.2999999999998,412.5884026484505,211,157.28318409798297,10,211,2876.9802797581374,1.9799654037381562,553.3,18.02248595505071
rrf,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,20,0,500,sgd,32,0.01,0.95,0,0.397,0.0665356933020978,0.4576,0.3167483978582401,20.0,619.2500000000001,471.72909333641917,748,49.01020301937138,20,748,3224.1113531945357,3.0445040647041353,619.25,19.785790355707302
rrf,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,50,0,500,sgd,32,0.01,0.95,0,0.22999999999999998,0.052060988649194874,0.31310000000000004,0.4961851109656143,50.0,534.0600000000001,355.57380949670636,1000,31.622776601683793,50,0,2361.551576527318,4.181511568799015,534.0600000000001,17.014335132469913
rrf,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,100,0,500,sgd,32,0.01,0.95,0,0.128,0.03919566372153284,0.25429999999999997,0.8095751399720654,100.0,495.8799999999999,322.1469186566899,1000,31.622776601683793,100,0,2027.0803909220688,5.650147077731694,495.88,15.730816889151052
rrf,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,200,0,500,sgd,32,0.01,0.95,0,0.06000000000000005,0.027904534520572465,0.2025,1.0710713230253484,200.0,494.11499999999995,307.88830324486173,1000,31.622776601683793,200,0,1869.8115172143282,7.816862222145149,494.115,15.658833768834766
rrf,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,300,0,500,sgd,32,0.01,0.95,0,0.018000000000000016,0.02103830492326168,0.18630000000000002,1.6833848177088107,300.0,505.68,323.67382824208823,1000,31.622776601683793,300,0,1922.596139448617,9.829014599643243,505.68,16.01004476362678
rrf,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,500,0,500,sgd,32,0.01,0.95,0,0.0,0.012568893118764033,0.17959999999999998,1.484641482585649,500.0,511.51799999999986,321.4248007046128,1000,31.622776601683793,67,0,1872.697896451945,12.64898924815734,511.51800000000003,16.18628963042488
rrf,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,700,0,500,sgd,32,0.01,0.95,0,0.0,0.007618663261328357,0.18069999999999997,2.4233149339995386,700.0,489.87571428571425,309.71181042434677,1000,31.622776601683793,55,0,1756.6716853299572,14.691962734774412,489.87571428571425,15.499292873929337
rrf,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,900,0,500,sgd,32,0.01,0.95,0,0.0,0.0033925894251035206,0.19210000000000005,4.4590124849432735,900.0,492.43333333333345,310.7000813892856,1000,31.622776601683793,52,0,1748.8645216136179,16.691360160274538,492.4333333333333,15.57749421203314
rrf,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,1000,0,500,sgd,32,0.01,0.95,0,0.0,0.0023967071799727417,0.19620000000000004,4.028657315040452,1000.0,513.4159999999999,330.3721876611287,1000,31.622776601683793,51,0,1875.1124990717567,18.14201207143243,513.4159999999999,16.241219843349207
rrf,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,1100,0,500,sgd,32,0.01,0.95,0,0.0,0.0017659033905428503,0.19299999999999995,4.625083564684073,1000.0,497.0209090909091,312.301831901593,1000,31.622776601683793,50,0,1751.4532388507603,18.49867576341615,497.02090909090913,15.7220723667121
rrf,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,1200,0,500,sgd,32,0.01,0.95,0,0.0,0.0012161584585357772,0.19120000000000004,3.0169739581880624,1000.0,497.4400000000001,316.07489509124974,1000,31.622776601683793,48,0,1767.6262338342062,19.43895866552527,497.44,15.736213895908309
rrf,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,1500,0,500,sgd,32,0.01,0.95,0,0.0,0.0004332796118841038,0.17879999999999996,2.7072070643239754,1000.0,493.20799999999986,311.5632234294954,1000,31.622776601683793,46,0,1730.6855487612972,21.58022678286769,493.20799999999997,15.600653832452023
rrf,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,2000,0,500,sgd,32,0.01,0.95,0,0.0,6.203069963788897e-05,0.15590000000000004,2.6445682670530384,1000.0,495.0045,311.8134771914934,1000,31.622776601683793,46,0,1725.2302684001515,24.9299779181611,495.0045,15.656897481621318
rrf,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,4000,0,500,sgd,32,0.01,0.95,0,0.0,5.129790480791988e-06,0.1321,1.637260874309153,1000.0,500.2449999999998,317.4796459298611,1000,31.622776601683793,42,0,1749.2199350320914,35.5782452349747,500.245,15.820301044069927
rrf,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,10,0,500,sgd,32,0.01,0.95,0,0.604,0.07610710204783953,0.6576,0.47385097548540217,10.0,377.5,218.96947275819068,270,116.00862036935014,10,270,1626.5909295325127,1.3901679754619582,377.5,12.689759650994183
rrf,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,20,0,500,sgd,32,0.01,0.95,0,0.42600000000000005,0.06667084321920107,0.4827,0.6112688137483384,20.0,454.65,275.31282661728636,914,35.805027579936315,20,914,1959.8680407119289,2.2870502836623423,454.65,14.67131555110175
rrf,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,50,0,500,sgd,32,0.01,0.95,0,0.22399999999999998,0.05148507989200755,0.3127,0.6300102552431185,50.0,533.38,353.67556149669144,997,31.71750305430741,50,997,2351.5582787225917,4.172046380374984,533.3800000000001,16.975759187735907
rrf,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,100,0,500,sgd,32,0.01,0.95,0,0.139,0.03954220084060024,0.2571,1.1000310106649847,100.0,517.8199999999998,342.96226002287756,1000,31.622776601683793,100,0,2171.4824286472135,5.831488660710916,517.8199999999999,16.421778222835673
rrf,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,200,0,500,sgd,32,0.01,0.95,0,0.062000000000000055,0.027680786368949016,0.20399999999999996,1.5733666328253118,200.0,501.61,318.80868753846715,1000,31.622776601683793,200,0,1936.5570670934706,7.962374520204385,501.61,15.892079788372572
rrf,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,300,0,500,sgd,32,0.01,0.95,0,0.02100000000000002,0.020910538632951392,0.18579999999999997,1.5409778855062606,300.0,523.3533333333332,346.55324073894707,1000,31.622776601683793,120,0,2077.220902452919,10.174309902887764,523.3533333333334,16.56827490517143
rrf,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,500,0,500,sgd,32,0.01,0.95,0,0.0,0.012665888262495179,0.1814,1.8460521099410272,500.0,478.5820000000001,296.37065661094044,1000,31.622776601683793,65,0,1695.8458790670857,12.143875534605911,478.582,15.1467196448604
rrf,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,700,0,500,sgd,32,0.01,0.95,0,0.0,0.006958349370008774,0.1864,3.7897813227389014,700.0,502.14857142857136,317.2184125700608,1000,31.622776601683793,56,0,1812.2540349753313,14.871344861847565,502.1485714285715,15.886571276986595
rrf,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,900,0,500,sgd,32,0.01,0.95,0,0.0,0.0036885082293343723,0.20409999999999995,4.94888783179596,900.0,498.94333333333344,314.15903753974874,1000,31.622776601683793,53,0,1776.5772805753036,16.783250489699544,498.9433333333333,15.783630956558744
rrf,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,1000,0,500,sgd,32,0.01,0.95,0,0.0,0.0024550787133928204,0.19389999999999996,3.169990521791451,1000.0,511.74,327.93822733862544,1000,31.622776601683793,51,0,1860.464647492263,18.077111494926395,511.74,16.188478433750344
rrf,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,1100,0,500,sgd,32,0.01,0.95,0,0.0,0.0016987291333689445,0.18879999999999997,3.2792053860883437,1000.0,500.5318181818182,319.5958282382182,1000,31.622776601683793,50,0,1796.0759939626143,18.71395829320991,500.53181818181815,15.833100618849473
rrf,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,1200,0,500,sgd,32,0.01,0.95,0,0.0,0.0011307433914290953,0.19230000000000003,4.416523405725112,1000.0,496.59083333333336,312.3318407370507,1000,31.622776601683793,48,0,1745.6461677194552,19.32295088748093,496.5908333333333,15.708973218620411
rrf,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,1500,0,500,sgd,32,0.01,0.95,0,0.0,0.000393597640837153,0.17669999999999997,2.7163812227109134,1000.0,502.1253333333334,320.42016453539395,1000,31.622776601683793,46,0,1790.667047055011,21.882639146135915,502.1253333333333,15.88206919068727
rrf,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,2000,0,500,sgd,32,0.01,0.95,0,0.0,5.7729512858834233e-05,0.15559999999999996,2.7320029221257807,1000.0,506.76149999999984,324.4778496627311,1000,31.622776601683793,45,0,1808.7225827452637,25.433832684045083,506.7615,16.027727544789375
rrf,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,4000,0,500,sgd,32,0.01,0.95,0,0.0,0.0020645482420427953,0.13260000000000005,1.6806338615065421,1000.0,502.84075000000024,320.24727006067127,1000,31.622776601683793,44,0,1767.8629060580727,35.73694960401629,502.84074999999996,15.902502485851087
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,10,0,500,sgd,32,0.01,0.95,0,0.546,0.07469007501604788,0.6065,0.28624860639618904,10.0,591.0,451.7488240161782,198,153.55780670483674,10,198,3151.302859318406,2.0793503793252355,591.0,19.12903552194935
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,20,0,500,sgd,32,0.01,0.95,0,0.4,0.06573800012763788,0.4728,0.4590430246123133,20.0,531.55,364.4090867418099,874,36.851051545376556,20,874,2530.8424020345005,2.659520069486222,531.55,17.02916615692031
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,50,0,500,sgd,32,0.01,0.95,0,0.259,0.05268917633265102,0.3497,0.6440692139451398,50.0,494.47999999999996,323.3281577592648,998,31.68595903550972,50,998,2125.674150033977,3.9853012433190043,494.48,15.756167046588457
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,100,0,500,sgd,32,0.01,0.95,0,0.137,0.039836959955246255,0.254,1.010481413006856,100.0,491.77999999999986,312.6180381871781,1000,31.622776601683793,100,0,1972.4760285154593,5.558477309479638,491.78,15.61726608597036
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,200,0,500,sgd,32,0.01,0.95,0,0.05800000000000005,0.02756558503677457,0.19310000000000005,1.6348506563774325,200.0,496.99499999999983,317.155875753548,1000,31.622776601683793,200,0,1921.7956414992243,7.934445349235194,496.995,15.7483562634327
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,300,0,500,sgd,32,0.01,0.95,0,0.015000000000000013,0.021017501853204647,0.18279999999999996,1.2472473690021502,300.0,504.7,322.7979112213846,1000,31.622776601683793,300,0,1919.4978994778467,9.8138892392364,504.70000000000005,15.977049512069215
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,500,0,500,sgd,32,0.01,0.95,0,0.0010000000000000009,0.012913399906548323,0.18120000000000003,2.367619557169644,500.0,490.33200000000005,308.25123125139334,1000,31.622776601683793,68,0,1773.6964124141844,12.387731592184261,490.332,15.517967392670988
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,700,0,500,sgd,32,0.01,0.95,0,0.0,0.006703010109064324,0.18610000000000004,2.715798892324406,700.0,513.1257142857143,328.7301283014096,1000,31.622776601683793,55,0,1890.9730099541375,15.141358261397821,513.1257142857144,16.23436239736503
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,900,0,500,sgd,32,0.01,0.95,0,0.0,0.0036576030377710525,0.19669999999999999,3.8382712795031493,900.0,488.7544444444444,311.8404604466921,1000,31.622776601683793,51,0,1750.3726282822395,16.722385984063397,488.75444444444446,15.461045554218824
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,1000,0,500,sgd,32,0.01,0.95,0,0.0,0.0024935242779516517,0.19430000000000003,3.482358349076695,1000.0,501.29000000000013,320.6910676024514,1000,31.622776601683793,50,0,1810.0001984894075,17.873380653922187,501.29,15.859196637913284
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,1100,0,500,sgd,32,0.01,0.95,0,0.0,0.0017969891971279857,0.19169999999999998,4.124841706740649,1000.0,503.131818181818,324.4021324090984,1000,31.622776601683793,50,0,1825.3354978183988,18.855742281862042,503.1318181818182,15.916262617287996
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,1200,0,500,sgd,32,0.01,0.95,0,0.0,0.001166836723723762,0.19240000000000002,3.4752807064118727,1000.0,507.8066666666667,326.2982348038541,1000,31.622776601683793,49,0,1840.824787274759,19.754438235495336,507.8066666666667,16.062531582329523
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,1500,0,500,sgd,32,0.01,0.95,0,0.0,0.00036551402531306983,0.17420000000000002,2.8710857700039676,1000.0,497.42600000000004,315.74730315167477,1000,31.622776601683793,48,0,1759.7074066353139,21.723644008314995,497.42600000000004,15.734115220684567
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,2000,0,500,sgd,32,0.01,0.95,0,0.0,6.692781186477481e-05,0.15849999999999997,2.3587436391582655,1000.0,499.2125,316.0404095289872,1000,31.622776601683793,47,0,1752.9985042280377,25.099821214502704,499.2125,15.789244828363387
rrf,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,4000,0,500,sgd,32,0.01,0.95,0,0.0,8.146053302381115e-05,0.1269,1.2447939505714056,1000.0,496.91949999999997,314.91966335737914,1000,31.622776601683793,43,0,1730.9684890653662,35.43587188147062,496.91949999999997,15.715607162944739
